Recency,Frequency,Monetary,T,AvgBasketsize,TotalTransactions,Churned
160,1,119409.38,160,55.46511627906977,1,0
68,2,82346.66,68,50.233333333333334,2,0
98,6,229091.6,310,51.5,6,0
68,4,382840.43,282,54.542635658914726,4,0
68,12,179996.08,251,53.220588235294116,12,0
98,2,87334.81,310,55.28947368421053,2,0
98,2,93725.56999999999,160,48.48571428571429,2,0
7,4,196093.01,310,50.486111111111114,4,0
68,7,247879.52,251,50.69318181818182,7,0
37,8,60952.03,310,40.689655172413794,8,0
7,3,111615.44,190,47.411764705882355,3,0
160,3,104308.31,341,43.825,3,0
7,49,1351390.04,372,48.97928436911488,49,0
37,13,927503.2,372,47.58056265984655,13,0
37,9,467491.63,190,51.18994413407821,9,0
37,30,1198462.21,372,51.47702407002188,30,0
68,1,82538.12,68,46.388888888888886,1,0
7,20,671115.8,372,51.946969696969695,20,0
37,9,799397.41,310,48.03896103896104,9,0
7,1,100444.79000000001,7,57.083333333333336,1,0
7,3,99937.72,37,57.77142857142857,3,0
37,4,390183.74,341,49.37012987012987,4,0
37,11,567524.67,372,51.27522935779817,11,0
37,13,198902.62,341,52.17283950617284,13,0
37,8,856352.98,341,52.66571428571429,8,0
37,3,116253.34,98,45.69090909090909,3,0
341,1,30462.03,341,44.86666666666667,1,1
7,10,630004.55,341,51.27755102040816,10,0
37,1,58867.68,37,50.15384615384615,1,0
68,2,45247.52,129,50.1,2,0
190,3,58920.39,221,57.0,3,0
37,13,214807.05,372,51.904761904761905,13,0
98,1,46060.87,98,61.785714285714285,1,0
37,3,55777.82,68,49.17391304347826,3,0
37,13,159061.43,341,49.784615384615385,13,0
341,2,432544.63,341,49.59375,2,1
98,5,369357.34,310,49.02721088435374,5,0
341,1,984.6,341,20.0,1,1
37,4,43814.619999999995,37,54.93333333333333,4,0
310,1,4735.36,310,98.0,1,1
251,1,66333.0,251,52.130434782608695,1,1
160,4,56400.76,310,49.08695652173913,4,0
37,2,172952.53,37,51.91304347826087,2,0
310,1,33776.46,310,61.0,1,1
160,2,77315.62,341,53.24242424242424,2,0
68,2,64773.0,68,46.76470588235294,2,0
98,2,96874.05,129,52.27777777777778,2,0
282,1,108784.52,282,52.35294117647059,1,1
372,1,26832.8,372,35.1875,1,1
98,2,63849.31,190,55.96153846153846,2,0
37,6,751369.44,190,48.48601398601399,6,0
7,5,340254.36,129,54.346774193548384,5,0
68,1,45401.06,68,43.5,1,0
98,6,455111.95,282,53.70322580645161,6,0
160,1,91236.31999999999,160,47.81578947368421,1,0
68,2,31564.38,68,52.916666666666664,2,0
7,13,257626.78,341,47.69090909090909,13,0
37,8,389618.3,341,53.21527777777778,8,0
7,3,165732.83,98,47.59154929577465,3,0
98,3,57273.36,341,57.44444444444444,3,0
37,8,241009.11,341,45.084210526315786,8,0
68,5,167080.12,341,50.10294117647059,5,0
37,1,37309.4,37,43.705882352941174,1,0
37,1,36965.63,37,44.8125,1,0
129,1,145122.73,129,50.19047619047619,1,0
98,2,76617.2,190,46.61764705882353,2,0
7,5,655384.95,68,46.69597069597069,5,0
37,1,49731.35,37,41.666666666666664,1,0
37,5,644016.77,341,49.71167883211679,5,0
37,19,1123549.76,372,47.018711018711016,19,0
37,3,118408.69,282,46.55769230769231,3,0
37,2,57648.64,37,43.6,2,0
98,2,130607.94,282,47.86,2,0
68,3,177828.01,98,50.91428571428571,3,0
221,2,25398.379999999997,282,46.75,2,1
190,1,16300.9,190,47.4,1,0
98,1,138743.17,98,46.526315789473685,1,0
372,1,25556.19,372,54.9,1,1
37,2,43372.18,68,46.95,2,0
7,14,521494.22,341,51.994897959183675,14,0
68,2,346168.37,160,54.99173553719008,2,0
37,5,66441.35,372,50.45454545454545,5,0
7,2,50578.490000000005,7,42.95454545454545,2,0
310,3,57244.44,341,50.0,3,1
7,4,271122.07,160,48.95495495495496,4,0
310,1,68068.38,310,64.5625,1,1
7,7,489463.93,221,53.51190476190476,7,0
282,1,51285.32,282,45.76190476190476,1,1
282,2,25933.36,310,58.9,2,1
98,2,56563.92,98,57.5,2,0
37,11,1236543.23,372,51.183585313174945,11,0
7,35,477301.68,251,51.738219895287955,35,0
68,2,71284.35,129,52.26470588235294,2,0
7,3,145601.35,68,44.75806451612903,3,0
251,1,61040.44,251,53.392857142857146,1,1
341,1,33392.73,341,50.18181818181818,1,1
37,6,207386.9,310,52.48314606741573,6,0
37,4,337343.36,372,49.63513513513514,4,0
37,4,298317.01,341,51.733333333333334,4,0
98,3,80314.2,98,48.225806451612904,3,0
251,1,48780.4,251,52.583333333333336,1,1
68,1,39834.61,68,50.266666666666666,1,0
251,2,44363.11,310,51.86363636363637,2,1
7,18,547510.4,372,48.94820717131474,18,0
7,18,327275.04,282,50.666666666666664,18,0
251,4,219493.55,372,51.25773195876289,4,1
37,2,32467.56,372,49.166666666666664,2,0
7,1,6867.8099999999995,7,42.25,1,0
68,1,21605.08,68,46.3,1,0
37,2,90281.64,160,52.31428571428572,2,0
190,3,150441.71,221,46.357142857142854,3,0
341,1,57861.55,341,46.46153846153846,1,1
98,2,35188.38,221,52.833333333333336,2,0
129,3,48952.35,221,44.04761904761905,3,0
37,11,343717.22000000003,341,57.05042016806723,11,0
68,2,64399.53,251,54.25925925925926,2,0
37,5,491017.15,282,48.177570093457945,5,0
37,9,341431.71,310,50.225563909774436,9,0
37,7,132408.76,310,43.82258064516129,7,0
37,11,154047.48,372,46.738461538461536,11,0
190,6,62897.55,341,45.62068965517241,6,0
68,1,28803.260000000002,68,39.583333333333336,1,0
37,1,11580.1,37,62.333333333333336,1,0
98,2,44911.65,282,50.6875,2,0
372,1,12564.19,372,61.666666666666664,1,1
68,2,525145.58,68,49.32673267326733,2,0
98,3,136117.68,341,48.75,3,0
37,7,281371.79,129,50.5045045045045,7,0
68,1,166484.01,68,54.43076923076923,1,0
68,2,66564.72,98,61.523809523809526,2,0
37,6,410409.81,282,48.012269938650306,6,0
282,1,59353.61,282,54.9,1,1
7,4,277978.14,190,52.48571428571429,4,0
98,5,91167.76,310,52.30555555555556,5,0
37,1,125568.03,37,53.595238095238095,1,0
37,1,25677.49,37,46.0,1,0
37,13,257918.54,282,53.48421052631579,13,0
37,3,214184.98,221,49.15217391304348,3,0
7,23,1116093.1300000001,372,49.09493670886076,23,0
251,1,30729.21,251,54.81818181818182,1,1
282,1,42649.520000000004,282,51.666666666666664,1,1
129,2,123962.13,190,52.31578947368421,2,0
221,3,248436.17,341,51.35164835164835,3,1
37,13,788897.17,341,50.34527687296417,13,0
37,7,557073.51,160,48.04782608695652,7,0
7,4,129261.39,68,56.95348837209303,4,0
37,2,176365.88,68,57.859375,2,0
68,1,61220.32,68,48.03225806451613,1,0
68,5,274962.28,310,47.29126213592233,5,0
98,2,251521.74,160,49.78217821782178,2,0
68,10,927869.78,341,48.35279187817259,10,0
37,1,89893.9,37,54.666666666666664,1,0
251,1,48390.54,251,52.45454545454545,1,1
37,3,123705.38,98,49.264150943396224,3,0
129,1,27135.84,129,56.3,1,0
37,3,130167.2,129,48.93617021276596,3,0
129,6,61789.61,341,54.208333333333336,6,0
129,1,81522.06,129,48.03225806451613,1,0
37,5,159959.89,341,50.148648648648646,5,0
7,2,109347.67,68,53.4,2,0
37,13,327642.59,372,50.8515625,13,0
160,1,51506.53,160,41.857142857142854,1,0
129,4,84790.27,372,52.54545454545455,4,0
7,1,60688.13,7,47.7,1,0
341,1,19062.5,341,55.0,1,1
341,2,143557.86,341,48.745098039215684,2,1
160,2,112462.02,310,51.86046511627907,2,0
37,5,85058.88,310,47.81578947368421,5,0
37,8,297451.81,251,50.715384615384615,8,0
37,5,127580.72,98,44.392857142857146,5,0
37,1,91619.56,37,48.25,1,0
37,1,9620.599999999999,37,62.4,1,0
37,1,26553.64,37,38.69230769230769,1,0
7,12,597073.88,372,52.36206896551724,12,0
7,10,86232.46,341,51.3421052631579,10,0
341,2,3346.23,341,33.25,2,1
372,1,6171.55,372,49.5,1,1
68,1,90453.65,68,51.54545454545455,1,0
7,6,416929.38,372,48.791666666666664,6,0
160,4,240739.13,282,51.6764705882353,4,0
37,6,196991.19,251,47.45744680851064,6,0
341,1,26337.91,341,43.4,1,1
7,2,88085.51,341,47.166666666666664,2,0
37,7,236932.76,221,53.27472527472528,7,0
37,6,106702.85,310,46.6,6,0
68,13,423180.76,372,52.449101796407184,13,0
68,9,172047.4,282,52.642857142857146,9,0
7,4,135828.55000000002,129,45.69230769230769,4,0
37,27,1550022.12,372,50.45510835913313,27,0
7,31,1357209.51,372,52.563809523809525,31,0
7,20,971330.14,372,50.30939226519337,20,0
7,7,283119.19,221,52.68571428571428,7,0
37,6,367672.12,98,48.439490445859875,6,0
372,1,10484.83,372,63.285714285714285,1,1
129,1,411340.82,129,52.473684210526315,1,0
37,2,218690.78,129,53.388888888888886,2,0
221,1,36448.61,221,48.125,1,1
37,6,89529.75,372,53.5,6,0
129,6,116778.59,341,50.46341463414634,6,0
98,2,100424.5,190,49.513513513513516,2,0
7,4,65675.40000000001,221,42.666666666666664,4,0
37,5,111554.02,190,54.604651162790695,5,0
7,6,702760.5,221,52.07037037037037,6,0
98,2,140302.02,251,53.528301886792455,2,0
37,1,59776.28,37,60.416666666666664,1,0
68,2,58367.81,98,55.36363636363637,2,0
7,10,248030.52,190,52.53333333333333,10,0
37,14,947897.59,372,54.43103448275862,14,0
310,1,85627.83,310,52.78787878787879,1,1
37,16,455839.17,372,52.660919540229884,16,0
7,26,628053.21,372,48.14007782101167,26,0
98,4,202481.51,221,52.32911392405063,4,0
37,17,373352.41,372,50.76056338028169,17,0
7,1,84926.02,7,51.21052631578947,1,0
37,5,624751.87,310,51.077220077220076,5,0
129,1,67148.81,129,56.857142857142854,1,0
7,2,176034.56,160,52.30434782608695,2,0
160,3,147777.95,251,57.57142857142857,3,0
98,1,44483.56,98,49.8421052631579,1,0
7,3,118785.73,68,55.666666666666664,3,0
7,29,916521.68,372,50.0,29,0
37,7,466896.05,372,52.76829268292683,7,0
98,6,155654.69,160,56.94736842105263,6,0
7,5,183264.64,68,50.14492753623188,5,0
7,4,145300.63,341,51.9622641509434,4,0
372,1,82832.15,372,59.25,1,1
37,7,328641.56,372,48.653225806451616,7,0
37,9,352755.12,341,49.730496453900706,9,0
98,4,120059.77,341,50.30434782608695,4,0
129,1,90717.86,129,62.65384615384615,1,0
37,14,694216.18,372,50.44043321299639,14,0
190,1,21778.18,190,44.916666666666664,1,0
251,1,53205.19,251,51.54545454545455,1,1
372,1,7466.76,372,41.75,1,1
341,2,106369.89,341,51.44186046511628,2,1
341,1,11702.0,341,52.5,1,1
372,1,33761.71,372,59.27272727272727,1,1
98,2,90889.93000000001,98,48.81578947368421,2,0
68,1,60540.16,68,42.888888888888886,1,0
160,2,319162.63,160,50.32835820895522,2,0
68,10,640578.06,341,50.956331877729255,10,0
7,11,278907.21,372,54.592233009708735,11,0
7,224,11912482.34,372,50.45239121068505,224,0
7,8,615619.11,221,51.58874458874459,8,0
129,1,42300.090000000004,129,54.2,1,0
98,1,119563.0,98,52.75471698113208,1,0
7,11,560320.33,372,51.8304347826087,11,0
251,5,164573.54,310,46.86153846153846,5,1
251,4,13432.92,372,48.333333333333336,4,1
98,1,9561.32,98,53.0,1,0
37,19,907833.46,221,47.91777188328913,19,0
129,2,220751.04,282,50.103092783505154,2,0
68,3,233554.63,282,51.526315789473685,3,0
7,2,178612.05000000002,37,52.84057971014493,2,0
160,2,47405.16,372,44.166666666666664,2,0
341,1,114803.09,341,53.22222222222222,1,1
7,7,836637.32,372,51.18064516129032,7,0
251,1,76349.08,251,47.90625,1,1
221,1,26281.81,221,52.75,1,1
68,1,115826.11,68,43.72727272727273,1,0
37,6,202878.12,310,55.82089552238806,6,0
37,7,134781.31,341,50.372549019607845,7,0
37,12,402027.14,372,48.55974842767296,12,0
37,5,75545.97,310,52.9,5,0
7,6,282050.17,372,51.10280373831776,6,0
7,8,194315.89,98,46.81395348837209,8,0
37,2,127546.93000000001,37,45.91525423728814,2,0
7,2,46653.18,372,47.4,2,0
37,3,49123.24,221,44.6,3,0
68,1,10336.68,68,53.0,1,0
221,1,68688.03,221,47.142857142857146,1,1
372,1,1305.7,372,26.0,1,1
282,1,40498.43,282,43.6,1,1
341,2,88451.78,372,59.333333333333336,2,1
68,2,107980.01,98,43.24444444444445,2,0
37,1,36532.54,37,56.357142857142854,1,0
372,3,44174.67,372,49.64705882352941,3,1
37,3,14566.68,190,36.25,3,0
190,2,65446.34,190,49.84615384615385,2,0
37,3,77570.15,372,55.142857142857146,3,0
190,2,66292.25,190,50.80769230769231,2,0
282,3,85955.24,310,58.645161290322584,3,1
68,1,55851.25,68,62.13333333333333,1,0
129,1,3226.7900000000004,129,46.0,1,0
160,2,104650.32,221,47.638297872340424,2,0
98,2,64672.25,190,41.55172413793103,2,0
282,1,9683.35,282,55.25,1,1
190,2,30800.7,282,41.0625,2,0
7,4,142047.19,341,49.33898305084746,4,0
221,1,12523.14,221,44.666666666666664,1,1
98,3,84949.33,98,43.04255319148936,3,0
98,5,22279.64,310,79.2,5,0
68,1,70134.12,68,53.88,1,0
7,8,255168.62,372,51.54255319148936,8,0
7,3,56689.26,68,42.32,3,0
7,6,124149.78,129,50.910714285714285,6,0
341,3,22044.53,372,30.416666666666668,3,1
37,7,78107.61,190,43.282051282051285,7,0
282,1,25543.13,282,43.77777777777778,1,1
37,2,74764.53,98,54.25925925925926,2,0
160,1,65253.049999999996,160,55.625,1,0
282,1,42330.240000000005,282,44.94444444444444,1,1
68,4,412861.14,310,51.16,4,0
190,1,23193.73,190,47.166666666666664,1,0
37,2,362325.8,372,54.89430894308943,2,0
7,16,867757.04,372,53.66772151898734,16,0
160,6,304763.77999999997,251,50.08620689655172,6,0
7,26,1025280.59,372,50.06378132118451,26,0
98,2,97486.46,310,52.411764705882355,2,0
68,9,284463.44,282,51.583333333333336,9,0
37,2,115933.76,129,48.86538461538461,2,0
282,4,54580.25,310,47.44444444444444,4,1
37,1,253640.4,37,50.9010989010989,1,0
37,2,110068.89,282,48.94117647058823,2,0
98,1,127904.22,98,48.16,1,0
310,2,34448.52,310,44.85,2,1
129,9,197523.46,341,50.142857142857146,9,0
98,5,281745.23,341,48.947826086956525,5,0
372,1,6166.5,372,27.666666666666668,1,1
7,8,718270.23,68,49.74763406940063,8,0
221,2,132283.93,310,53.97826086956522,2,1
68,2,19899.06,221,49.333333333333336,2,0
160,1,2601.18,160,61.333333333333336,1,0
37,3,246395.84,372,49.9375,3,0
282,1,43891.58,282,47.07692307692308,1,1
37,10,1377671.65,372,49.61524500907441,10,0
190,6,265615.99,372,49.52336448598131,6,0
372,1,3130.69,372,70.5,1,1
98,2,31876.32,221,48.09090909090909,2,0
341,2,166025.02,372,50.984848484848484,2,1
282,1,11614.99,282,64.25,1,1
160,2,10145.7,372,87.5,2,0
68,2,205777.86,221,50.90588235294118,2,0
7,12,437712.27,372,53.33116883116883,12,0
37,3,108656.0,282,48.265306122448976,3,0
68,4,27742.4,98,52.583333333333336,4,0
282,1,18812.469999999998,282,44.285714285714285,1,1
37,2,27355.0,37,35.53846153846154,2,0
37,4,158886.5,98,55.714285714285715,4,0
98,1,15977.05,98,64.0,1,0
68,4,179946.67,129,49.22222222222222,4,0
68,3,217268.83,221,52.104651162790695,3,0
221,4,16575.15,282,58.42857142857143,4,1
37,1,229965.89,37,51.75609756097561,1,0
190,3,9567.029999999999,310,75.0,3,0
37,1,76672.42,37,43.794117647058826,1,0
68,3,64519.81,98,52.916666666666664,3,0
221,2,4259.0599999999995,310,69.75,2,1
7,36,307135.27,282,48.912,36,0
282,1,25004.73,282,45.5,1,1
37,2,197212.82,190,53.013888888888886,2,0
37,5,150647.0,98,49.98412698412698,5,0
68,4,24717.760000000002,341,80.25,4,0
68,8,243043.59,282,51.59375,8,0
37,8,175996.37,251,50.0,8,0
7,5,52156.94,68,44.25,5,0
7,5,128124.58,372,46.44,5,0
160,2,65518.59,372,56.5,2,0
160,5,287924.78,341,50.77064220183486,5,0
129,1,2928.2799999999997,129,20.5,1,0
7,8,120021.47,190,50.30769230769231,8,0
37,1,86104.78,37,52.82142857142857,1,0
7,50,1800032.86,372,49.493927125506076,50,0
160,1,63402.08,160,55.75,1,0
68,1,49664.42,68,40.93103448275862,1,0
98,5,91172.88,341,52.54838709677419,5,0
7,2,113615.82,98,51.577777777777776,2,0
37,5,244725.28,372,52.42857142857143,5,0
129,2,19605.629999999997,310,42.0,2,0
98,4,71841.82,190,53.925925925925924,4,0
37,20,288971.28,372,54.85294117647059,20,0
37,4,292229.25,282,51.51401869158879,4,0
7,8,336359.2,341,55.47692307692308,8,0
37,5,160039.75,98,49.888888888888886,5,0
37,4,323008.7,282,50.3,4,0
37,1,16355.099999999999,37,40.111111111111114,1,0
68,8,114618.69,341,46.02127659574468,8,0
68,4,249346.73,98,50.300970873786405,4,0
160,3,191599.63,372,51.21333333333333,3,0
310,1,3744.72,310,63.0,1,1
37,2,80358.89,372,50.166666666666664,2,0
310,1,73759.95,310,50.608695652173914,1,1
160,11,275126.6,372,50.13592233009709,11,0
37,8,377842.68,282,57.58474576271186,8,0
37,10,530588.71,251,48.67123287671233,10,0
7,3,47266.39,37,52.30434782608695,3,0
7,8,198540.68,341,54.646153846153844,8,0
7,5,203418.53,98,48.275,5,0
37,1,47587.19,37,51.23529411764706,1,0
7,14,493966.03,282,50.08196721311475,14,0
310,1,52827.13,310,53.0,1,1
7,12,609745.84,341,51.52459016393443,12,0
7,2,29950.64,129,40.5,2,0
7,9,233014.72,372,50.604166666666664,9,0
98,1,330078.66000000003,98,52.87155963302752,1,0
37,1,11465.36,37,33.9,1,0
7,4,114005.17,372,56.72727272727273,4,0
129,1,11204.1,129,48.2,1,0
7,4,395587.75,341,48.496688741721854,4,0
7,89,753251.92,372,50.814935064935064,89,0
221,1,22277.73,221,50.0,1,1
221,1,74980.16,221,57.09090909090909,1,1
160,1,12839.91,160,56.22222222222222,1,0
160,12,53629.869999999995,372,47.125,12,0
37,2,63224.14,160,65.75,2,0
251,2,90948.1,251,47.38235294117647,2,1
37,1,8463.99,37,40.5,1,0
7,3,187394.03,37,50.6025641025641,3,0
98,3,83405.03,221,53.766666666666666,3,0
310,1,257724.78,310,53.47826086956522,1,1
7,19,198762.17,372,56.13235294117647,19,0
37,3,26925.02,310,47.38461538461539,3,0
37,2,66119.27,129,48.83870967741935,2,0
37,4,63568.65,310,47.22222222222222,4,0
7,5,173927.37,282,51.21917808219178,5,0
98,2,9530.15,98,43.4,2,0
37,7,169160.63,341,49.11940298507463,7,0
221,3,74799.39,251,47.32142857142857,3,1
129,3,64024.02,372,48.41935483870968,3,0
7,15,877866.22,341,50.05555555555556,15,0
341,1,23140.12,341,56.857142857142854,1,1
129,3,14210.570000000002,221,42.0,3,0
37,22,1128569.47,372,52.01955990220049,22,0
190,3,64989.409999999996,251,47.275862068965516,3,0
68,1,19008.66,68,80.0,1,0
341,2,35976.55,372,46.0,2,1
372,1,6022.16,372,42.0,1,1
37,11,289624.3,310,49.63551401869159,11,0
7,15,560668.8,372,51.846846846846844,15,0
7,16,317002.57,282,50.733870967741936,16,0
68,5,453705.15,251,50.70454545454545,5,0
98,3,110061.34,129,46.234042553191486,3,0
7,1,4288.75,7,47.0,1,0
37,29,1134387.49,310,51.37472766884532,29,0
7,12,307237.89,372,47.11940298507463,12,0
68,2,96873.65,129,46.275,2,0
7,8,107545.64,282,44.72093023255814,8,0
129,6,80473.19,372,61.69230769230769,6,0
37,3,114117.21,68,43.12765957446808,3,0
37,3,17972.75,372,43.3,3,0
37,2,235504.87,372,50.42424242424242,2,0
37,3,203406.25,98,50.586666666666666,3,0
372,1,38982.39,372,57.18181818181818,1,1
68,2,96380.75,372,51.891891891891895,2,0
68,3,71721.14,282,52.766666666666666,3,0
160,3,111507.21,282,47.333333333333336,3,0
98,3,75972.55,310,43.357142857142854,3,0
7,2,114961.27,37,55.093023255813954,2,0
282,2,37174.74,282,48.42857142857143,2,1
310,1,82850.70999999999,310,44.78787878787879,1,1
98,1,38669.11,98,51.111111111111114,1,0
37,2,89375.64,282,46.77142857142857,2,0
37,18,537358.8200000001,372,52.744897959183675,18,0
37,5,328421.62,341,47.10948905109489,5,0
68,2,47893.46,341,58.0,2,0
37,28,1077220.51,372,51.72274881516588,28,0
221,1,54550.18,221,54.5,1,1
68,4,240184.12,221,54.76923076923077,4,0
37,3,24804.489999999998,160,44.625,3,0
251,1,14369.98,251,44.875,1,1
282,1,21239.73,282,48.86666666666667,1,1
98,1,15083.3,98,51.0,1,0
190,1,17542.09,190,46.27272727272727,1,0
37,4,167734.98,341,47.52173913043478,4,0
372,1,36312.56,372,45.285714285714285,1,1
37,3,97733.56,37,40.326530612244895,3,0
98,1,21197.75,98,46.06666666666667,1,0
37,2,1858.41,341,29.5,2,0
7,27,1112672.28,372,48.42765957446809,27,0
221,1,24473.04,221,46.0,1,1
282,1,19603.45,282,56.285714285714285,1,1
129,1,44215.15,129,51.63636363636363,1,0
7,4,279455.7,372,51.517857142857146,4,0
7,43,912701.72,372,48.67631578947368,43,0
7,5,18162.1,160,49.0,5,0
190,1,6428.3,190,35.166666666666664,1,0
7,21,2638158.3,372,50.305372290292176,21,0
129,10,244651.78,341,57.44,10,0
7,2,51451.8,98,59.166666666666664,2,0
160,3,64151.47,310,46.6551724137931,3,0
7,118,4739395.74,372,50.021540118470654,118,0
7,18,416705.76,372,46.88198757763975,18,0
37,2,75308.68000000001,37,46.458333333333336,2,0
98,6,83263.84,372,60.53846153846154,6,0
282,13,423408.18,372,47.65882352941176,13,1
37,16,41425.46,372,42.266666666666666,16,0
98,1,15108.060000000001,98,46.166666666666664,1,0
37,14,1141717.7,372,51.31121281464531,14,0
7,41,1576223.47,341,51.15702479338843,41,0
98,1,1925.25,98,51.0,1,0
251,1,20428.0,251,51.5,1,1
7,27,815199.1900000001,372,49.07419354838709,27,0
68,1,26358.45,68,58.625,1,0
7,6,48864.01,372,57.2,6,0
129,2,2933.04,160,61.0,2,0
68,5,166677.66,341,50.2,5,0
372,1,14617.16,372,37.8,1,1
7,5,123761.02,160,41.76,5,0
37,8,372117.65,310,50.61643835616438,8,0
7,40,701501.51,372,47.67857142857143,40,0
7,14,336289.84,372,50.583333333333336,14,0
129,2,112840.89,160,58.41935483870968,2,0
37,8,176428.77000000002,372,50.8421052631579,8,0
37,7,191878.59,310,47.41463414634146,7,0
251,1,385.84,251,28.0,1,1
282,2,127636.33,282,50.094339622641506,2,1
98,2,110007.17,251,46.85454545454545,2,0
98,3,609551.28,372,51.57021276595745,3,0
7,10,364989.88,372,47.79577464788732,10,0
98,1,20555.52,98,38.4,1,0
98,1,3427.29,98,31.5,1,0
37,4,140577.02,190,55.67391304347826,4,0
282,1,12382.490000000002,282,83.66666666666667,1,1
282,2,18003.769999999997,310,48.857142857142854,2,1
98,7,293751.89,251,49.65714285714286,7,0
221,1,2515.35,221,41.0,1,1
68,11,330101.65,372,45.94964028776978,11,0
37,9,1773029.69,310,49.99858156028369,9,0
37,6,177635.77,372,49.34920634920635,6,0
37,8,455127.97000000003,282,50.92528735632184,8,0
129,3,140007.2,372,57.08695652173913,3,0
98,6,361388.38,341,51.345588235294116,6,0
37,1,67468.05,37,47.30434782608695,1,0
341,1,7257.400000000001,341,38.333333333333336,1,1
68,5,15067.330000000002,372,52.42857142857143,5,0
37,1,37872.68,37,46.294117647058826,1,0
37,4,7863.44,98,47.5,4,0
37,17,896262.27,372,48.887608069164266,17,0
37,4,233330.09,310,52.27906976744186,4,0
221,2,199487.22,310,53.6,2,1
7,1,33413.99,7,42.8,1,0
160,1,4494.64,160,76.0,1,0
37,4,216211.07,372,48.61176470588235,4,0
68,5,224771.42,310,49.42696629213483,5,0
